title,authors,year,venue,doi,arxiv_identifier,ssrn_identifier,canonical_source,asset_class,instrument_type,prediction_or_decision_target,forecast_horizon,input_data,data_frequency,dataset_period,split_design,validation_design,leakage_controls,cost_assumptions,execution_assumptions,forecast_metrics,economic_metrics,reported_result,independent_replication_evidence,negative_evidence,official_code_availability,code_license,data_license,main_limitations,repository_relevance,implementation_suitability,final_disposition,verification_scope
Efficient Capital Markets: A Review of Theory and Empirical Work,Eugene F. Fama,1970,Journal of Finance,10.1111/j.1540-6261.1970.tb00518.x,,,https://doi.org/10.1111/j.1540-6261.1970.tb00518.x,equities,cash equities,information incorporation,various,prices and public/private information,various,pre-1970 literature,survey and event-study synthesis,survey and event-study synthesis,recognizes joint-hypothesis problem,not central,not separately reported / not verified,autocorrelation and event responses,risk-adjusted returns,evidence broadly consistent with efficiency conditional on model,extensive and mixed,joint test of efficiency and asset-pricing model; old microstructure,no,not applicable,underlying studies vary,joint test of efficiency and asset-pricing model; old microstructure,sets skeptical prior and benchmark burden,45,Monitor,"inherited repository primary-source review; immutable earlier evidence, not a fresh replication"
A Comprehensive Look at the Empirical Performance of Equity Premium Prediction,Ivo Welch; Amit Goyal,2008,Review of Financial Studies,10.1093/rfs/hhm014,,,https://doi.org/10.1093/rfs/hhm014,equities,US market index,equity premium,monthly and annual,valuation and macro predictors,monthly and annual,1871-2005 depending on series,recursive out-of-sample against historical mean,recursive out-of-sample against historical mean,real-time-style recursive estimation; extensive robustness,market-timing utility considered but execution simplified,not separately reported / not verified,OOS R-squared and forecast errors,certainty-equivalent and timing utility,most predictors fail OOS and are unstable,strong methodological replication and extensions,aggregate US evidence may not map to crypto,data supplied by authors,author terms,mixed public/proprietary source terms,aggregate US evidence may not map to crypto,directly defines required baselines and skepticism,82,Integrate,"inherited repository primary-source review; immutable earlier evidence, not a fresh replication"
Generalized Autoregressive Conditional Heteroskedasticity,Tim Bollerslev,1986,Journal of Econometrics,10.1016/0304-4076(86)90063-1,,,https://doi.org/10.1016/0304-4076(86)90063-1,macroeconomic and financial,return/inflation series,conditional variance,one-step and recursive,lagged variance and squared innovations,application-specific,method paper with empirical examples,likelihood estimation and residual checks,likelihood estimation and residual checks,causal lag structure,not central,not separately reported / not verified,likelihood and volatility loss,none,parsimonious persistent volatility dynamics,extensive; often beaten by realized-volatility models where available,parameter instability; distribution and asymmetry choices,no canonical code,not applicable,source data terms,parameter instability; distribution and asymmetry choices,strong volatility baseline,76,Prototype,"inherited repository primary-source review; immutable earlier evidence, not a fresh replication"
A Simple Approximate Long-Memory Model of Realized Volatility,Fulvio Corsi,2009,Journal of Financial Econometrics,10.1093/jjfinec/nbp001,,,https://doi.org/10.1093/jjfinec/nbp001,FX,spot FX,realized volatility,daily; weekly; monthly components,lagged realized volatility aggregates,intraday to daily,multi-year FX sample,rolling/recursive out-of-sample comparisons,rolling/recursive out-of-sample comparisons,lag-only heterogeneous components,not a trading strategy,not separately reported / not verified,MSE-family volatility losses,none,HAR-RV is competitive with more complex long-memory models,extensive across assets including crypto volatility,bar RV proxy is weaker than high-frequency RV,no canonical code,not applicable,source data terms,bar RV proxy is weaker than high-frequency RV,best feasible risk-gating candidate,92,Prototype,"inherited repository primary-source review; immutable earlier evidence, not a fresh replication"
A New Approach to the Economic Analysis of Nonstationary Time Series and the Business Cycle,James D. Hamilton,1989,Econometrica,10.2307/1912559,,,https://doi.org/10.2307/1912559,macroeconomic,US output,latent regime probability,quarterly,lagged output growth,quarterly,1950s-1980s US GNP,maximum likelihood with filtered and smoothed states,maximum likelihood with filtered and smoothed states,filtering can be causal; smoothing cannot be used live,not applicable,not separately reported / not verified,likelihood and regime classification,none,recovers recession-like regime dynamics,extensive,state labels and count are model-dependent,no canonical code,not applicable,public macro data,state labels and count are model-dependent,audit benchmark for current HMM,78,Monitor,"inherited repository primary-source review; immutable earlier evidence, not a fresh replication"
Time Series Momentum,Tobias J. Moskowitz; Yao Hua Ooi; Lasse Heje Pedersen,2012,Journal of Financial Economics,10.1016/j.jfineco.2011.11.003,,,https://doi.org/10.1016/j.jfineco.2011.11.003,multi-asset futures,58 liquid futures/forwards,own-return sign and excess return,1-12 months,lagged excess returns,daily/monthly,1965-2009 depending on contract,subperiods; diversified portfolios; factor controls,subperiods; diversified portfolios; factor controls,lagged signal and broad universe,cost/capacity discussion; not modern crypto fills,not separately reported / not verified,t-statistics and regressions,portfolio returns; Sharpe; drawdowns,positive persistence over 1-12 months with later partial reversal,substantial independent evidence; crash-risk debate,horizon and implementation differ from intraday crypto,author data series available in some forms,author terms,underlying vendor data restricted,horizon and implementation differ from intraday crypto,strong prior for longer-horizon trend baseline,84,Monitor,"inherited repository primary-source review; immutable earlier evidence, not a fresh replication"
Carry,Ralph S. J. Koijen; Tobias J. Moskowitz; Lasse Heje Pedersen; Evert B. Vrugt,2018,Journal of Financial Economics,10.1016/j.jfineco.2017.11.002,,,https://doi.org/10.1016/j.jfineco.2017.11.002,multi-asset,currencies; commodities; equities; bonds; credit; options,carry and expected return,monthly,forward/spot; yields; valuation spreads,daily/monthly,multi-decade global samples,cross-asset portfolios; factors; subperiods,cross-asset portfolios; factors; subperiods,observable ex-ante carry definitions,asset-specific cost treatment,not separately reported / not verified,cross-sectional regressions,long-short return; Sharpe; recession loss,carry comoves across assets and bears global risk,broad independent carry literature,funding rate is not automatically equivalent to carry,author data available,author terms,vendor/source restrictions vary,funding rate is not automatically equivalent to carry,academic origin for prospective carry campaign,86,Prototype,"inherited repository primary-source review; immutable earlier evidence, not a fresh replication"
The Combination of Forecasts,John M. Bates; Clive W. J. Granger,1969,Operational Research Quarterly,10.1057/jors.1969.103,,,https://doi.org/10.1057/jors.1969.103,general,generic forecasts,combined conditional mean,application-specific,multiple forecasts and error covariance,application-specific,illustrative,holdout errors to estimate weights,holdout errors to estimate weights,requires weights based on past errors,not applicable,not separately reported / not verified,forecast error variance,none,combinations can beat individual forecasts,extensive,unstable covariance and adaptive-weight leakage,no,not applicable,not applicable,unstable covariance and adaptive-weight leakage,supports bounded ensembles over winner selection,74,Integrate,"inherited repository primary-source review; immutable earlier evidence, not a fresh replication"
Greedy Function Approximation: A Gradient Boosting Machine,Jerome H. Friedman,2001,Annals of Statistics,10.1214/aos/1013203451,,,https://doi.org/10.1214/aos/1013203451,general,tabular samples,regression or classification target,sample-level,features and gradients,sample-level,benchmarks,train/test benchmark comparisons,train/test benchmark comparisons,requires clean split and fitted preprocessing,not applicable,not separately reported / not verified,loss-specific forecast metrics,none,stagewise trees optimize arbitrary differentiable loss,extensive,generic method paper gives no financial edge,author software descendants,varies,benchmark terms vary,generic method paper gives no financial edge,supports existing shallow booster baseline,73,Monitor,"inherited repository primary-source review; immutable earlier evidence, not a fresh replication"
Empirical Asset Pricing via Machine Learning,Shihao Gu; Bryan Kelly; Dacheng Xiu,2020,Review of Financial Studies,10.1093/rfs/hhaa009,,,https://doi.org/10.1093/rfs/hhaa009,equities,US cash equities,monthly cross-sectional excess return,one month,firm characteristics and macro interactions,monthly,1957-2016,chronological training validation and holdout; portfolio sorts,chronological training validation and holdout; portfolio sorts,time split and lagged characteristics,large-cap and turnover analyses; not full impact,not separately reported / not verified,OOS R-squared,portfolio alpha; Sharpe; drawdown,trees and neural nets improve cross-sectional forecasts; shallow models strong,substantial follow-up literature with mixed portability,equity breadth and monthly costs differ from crypto perps,author code/data guidance available,author terms,CRSP/Compustat restricted,equity breadth and monthly costs differ from crypto perps,supports shallow nonlinear cross-sectional candidate,82,Monitor,"inherited repository primary-source review; immutable earlier evidence, not a fresh replication"
