title,authors,year,venue,doi,arxiv_identifier,ssrn_identifier,canonical_source,asset_class,instrument_type,prediction_or_decision_target,forecast_horizon,input_data,data_frequency,dataset_period,split_design,validation_design,leakage_controls,cost_assumptions,execution_assumptions,forecast_metrics,economic_metrics,reported_result,independent_replication_evidence,negative_evidence,formal_guarantees,formal_assumptions,proof_tool_availability,official_code_availability,code_license,data_license,main_limitations,repository_relevance,implementation_suitability,verification_suitability,final_disposition,review_depth,checked_on
Safe Reinforcement Learning via Shielding,Mohammed Alshiekh; Roderick Bloem; Ruediger Ehlers; Bettina Koenighofer; Scott Niekum; Ufuk Topcu,2018,AAAI,10.1609/aaai.v32i1.11797,1708.08611,not established,https://ojs.aaai.org/index.php/AAAI/article/view/11797,not a financial efficacy study,not established,Temporal safety enforced by a reactive shield,model-specific; not mapped to crypto horizon,see primary source; no dataset imported,not mapped to financial bars,not independently verified / not applicable to formal method,not imported as a repository experiment,method/benchmark claims only; no repository financial replication,no repository holdout access,does not establish Binance funding/spread/slippage,no validated Binance queue/fill model,no repository forecast result,no repository net-economic result,Temporal safety enforced by a reactive shield,not independently established in this refresh,"abstraction, benchmark or support assumptions do not establish future market performance",Temporal safety enforced by a reactive shield,Sound environment abstraction and implemented shield,see source; only pinned local Z3 and finite enumeration used here,not imported; availability/license not audited here,not verified; no code copied,not verified; no data copied,Sound environment abstraction and implemented shield,Direct motivation for independent proposal gating,research infrastructure only,Direct motivation for independent proposal gating,Prototype,primary proceedings and retained detailed review,2026-09-20
Easy-to-Use Shielding for Reinforcement Learning,Stefan Pranger; Bettina Koenighofer,2026,arXiv preprint,unverified/not assigned,2606.03804,not established,https://arxiv.org/abs/2606.03804,not a financial efficacy study,not established,Tempest/Gymnasium integration and game-model shields,model-specific; not mapped to crypto horizon,see primary source; no dataset imported,not mapped to financial bars,not independently verified / not applicable to formal method,not imported as a repository experiment,method/benchmark claims only; no repository financial replication,no repository holdout access,does not establish Binance funding/spread/slippage,no validated Binance queue/fill model,no repository forecast result,no repository net-economic result,Tempest/Gymnasium integration and game-model shields,not independently established in this refresh,"abstraction, benchmark or support assumptions do not establish future market performance",Tempest/Gymnasium integration and game-model shields,Correct symbolic model and synthesis assumptions; exact theorem not rederived,see source; only pinned local Z3 and finite enumeration used here,not imported; availability/license not audited here,not verified; no code copied,not verified; no data copied,Correct symbolic model and synthesis assumptions; exact theorem not rederived,Possible future shield-synthesis infrastructure,defer; no validated economic winner,Possible future shield-synthesis infrastructure,Monitor,primary abstract and metadata only,2026-09-20
Persistent Safety Set Guided Offline Safe Reinforcement Learning,Ayan Choudhury; Janaka Brahmanage; Akshat Kumar; Praveen Paruchuri,2026,IJCAI,10.24963/ijcai.2026/470,not established,not established,https://www.ijcai.org/proceedings/2026/470,not a financial efficacy study,not established,Learned persistent safety sets and dynamics uncertainty treatment,model-specific; not mapped to crypto horizon,see primary source; no dataset imported,not mapped to financial bars,not independently verified / not applicable to formal method,not imported as a repository experiment,method/benchmark claims only; no repository financial replication,no repository holdout access,does not establish Binance funding/spread/slippage,no validated Binance queue/fill model,no repository forecast result,no repository net-economic result,Learned persistent safety sets and dynamics uncertainty treatment,not independently established in this refresh,"abstraction, benchmark or support assumptions do not establish future market performance",Learned persistent safety sets and dynamics uncertainty treatment,Barrier/dynamics assumptions; learned safe set not certified for this market,see source; only pinned local Z3 and finite enumeration used here,not imported; availability/license not audited here,not verified; no code copied,not verified; no data copied,Barrier/dynamics assumptions; learned safe set not certified for this market,No replacement for deterministic hard constraints,defer; no validated economic winner,No replacement for deterministic hard constraints,Monitor,official proceedings summary only,2026-09-20
Reluplex: An Efficient SMT Solver for Verifying Deep Neural Networks,Guy Katz; Clark Barrett; David L. Dill; Kyle Julian; Mykel J. Kochenderfer,2017,CAV,unverified/not assigned,1702.01135,not established,https://theory.stanford.edu/~barrett/pubs/KBD%2B17-abstract.html,not a financial efficacy study,not established,Properties of a piecewise-linear network over specified regions,model-specific; not mapped to crypto horizon,see primary source; no dataset imported,not mapped to financial bars,not independently verified / not applicable to formal method,not imported as a repository experiment,method/benchmark claims only; no repository financial replication,no repository holdout access,does not establish Binance funding/spread/slippage,no validated Binance queue/fill model,no repository forecast result,no repository net-economic result,Properties of a piecewise-linear network over specified regions,not independently established in this refresh,"abstraction, benchmark or support assumptions do not establish future market performance",Properties of a piecewise-linear network over specified regions,Encoded network and input-domain fidelity,see source; only pinned local Z3 and finite enumeration used here,not imported; availability/license not audited here,not verified; no code copied,not verified; no data copied,Encoded network and input-domain fidelity,Current tanh policies and missing accepted candidate make direct adoption unsuitable,defer; no validated economic winner,Current tanh policies and missing accepted candidate make direct adoption unsuitable,Monitor,author publication page,2026-09-20
Specifying Systems,Leslie Lamport,2002,Addison-Wesley,unverified/not assigned,not established,not established,https://www.microsoft.com/en-us/research/publication/specifying-systems-the-tla-language-and-tools-for-hardware-and-software-engineers/,not a financial efficacy study,not established,State/temporal system specification,model-specific; not mapped to crypto horizon,see primary source; no dataset imported,not mapped to financial bars,not independently verified / not applicable to formal method,not imported as a repository experiment,method/benchmark claims only; no repository financial replication,no repository holdout access,does not establish Binance funding/spread/slippage,no validated Binance queue/fill model,no repository forecast result,no repository net-economic result,State/temporal system specification,not independently established in this refresh,"abstraction, benchmark or support assumptions do not establish future market performance",State/temporal system specification,Correct abstraction and stated fairness,see source; only pinned local Z3 and finite enumeration used here,not imported; availability/license not audited here,not verified; no code copied,not verified; no data copied,Correct abstraction and stated fairness,Future server/ownership refinement; small current model enumerated directly,defer; no validated economic winner,Future server/ownership refinement; small current model enumerated directly,Monitor,author publication page and methodology,2026-09-20
PRISM 4.0: Verification of Probabilistic Real-time Systems,Marta Kwiatkowska; Gethin Norman; David Parker,2011,CAV,unverified/not assigned,not established,not established,https://www.prismmodelchecker.org/bibitem.php?key=KNP11,not a financial efficacy study,not established,Quantitative probabilistic-system verification,model-specific; not mapped to crypto horizon,see primary source; no dataset imported,not mapped to financial bars,not independently verified / not applicable to formal method,not imported as a repository experiment,method/benchmark claims only; no repository financial replication,no repository holdout access,does not establish Binance funding/spread/slippage,no validated Binance queue/fill model,no repository forecast result,no repository net-economic result,Quantitative probabilistic-system verification,not independently established in this refresh,"abstraction, benchmark or support assumptions do not establish future market performance",Quantitative probabilistic-system verification,Justified probabilistic model,see source; only pinned local Z3 and finite enumeration used here,not imported; availability/license not audited here,not verified; no code copied,not verified; no data copied,Justified probabilistic model,No calibrated crypto transition kernel available,defer; no validated economic winner,No calibrated crypto transition kernel available,Monitor,official tool-paper metadata,2026-09-20
A Storm is Coming: A Modern Probabilistic Model Checker,Christian Dehnert; Sebastian Junges; Joost-Pieter Katoen; Matthias Volk,2017,CAV,unverified/not assigned,1702.04311,not established,https://www.stormchecker.org/2017/04/12/cav.html,not a financial efficacy study,not established,Probabilistic model checking,model-specific; not mapped to crypto horizon,see primary source; no dataset imported,not mapped to financial bars,not independently verified / not applicable to formal method,not imported as a repository experiment,method/benchmark claims only; no repository financial replication,no repository holdout access,does not establish Binance funding/spread/slippage,no validated Binance queue/fill model,no repository forecast result,no repository net-economic result,Probabilistic model checking,not independently established in this refresh,"abstraction, benchmark or support assumptions do not establish future market performance",Probabilistic model checking,Sound model and numerical algorithms,see source; only pinned local Z3 and finite enumeration used here,not imported; availability/license not audited here,not verified; no code copied,not verified; no data copied,Sound model and numerical algorithms,Defer market-risk probability claims pending identified transitions,defer; no validated economic winner,Defer market-risk probability claims pending identified transitions,Monitor,official project paper page,2026-09-20
Refinement Types for Haskell,Niki Vazou; Eric L. Seidel; Ranjit Jhala; Dimitrios Vytiniotis; Simon Peyton Jones,2014,ICFP,unverified/not assigned,not established,not established,https://www.microsoft.com/en-us/research/wp-content/uploads/2016/07/LiquidHaskell_ICFP14.pdf,not a financial efficacy study,not established,Haskell refinement verification,model-specific; not mapped to crypto horizon,see primary source; no dataset imported,not mapped to financial bars,not independently verified / not applicable to formal method,not imported as a repository experiment,method/benchmark claims only; no repository financial replication,no repository holdout access,does not establish Binance funding/spread/slippage,no validated Binance queue/fill model,no repository forecast result,no repository net-economic result,Haskell refinement verification,not independently established in this refresh,"abstraction, benchmark or support assumptions do not establish future market performance",Haskell refinement verification,Supported language/termination/refinement semantics,see source; only pinned local Z3 and finite enumeration used here,not imported; availability/license not audited here,not verified; no code copied,not verified; no data copied,Supported language/termination/refinement semantics,Potential future reduction of manual model-to-source gap,defer; no validated economic winner,Potential future reduction of manual model-to-source gap,Monitor,primary author-hosted paper identification,2026-09-20
FinVerse: Financial Time-Series Benchmark,Jaehoon Lee et al.,2026,arXiv preprint,unverified/not assigned,2608.03259,not established,https://arxiv.org/abs/2608.03259v2,financial series,not established,Generic forecast quality need not imply useful financial forecasts,model-specific; not mapped to crypto horizon,see primary source; no dataset imported,not mapped to financial bars,not independently verified / not applicable to formal method,not imported as a repository experiment,method/benchmark claims only; no repository financial replication,no repository holdout access,does not establish Binance funding/spread/slippage,no validated Binance queue/fill model,no repository forecast result,no repository net-economic result,Generic forecast quality need not imply useful financial forecasts,not independently established in this refresh,"abstraction, benchmark or support assumptions do not establish future market performance",no applicable machine-checked repository guarantee,Benchmark definitions and target selection; not a safety theorem,see source; only pinned local Z3 and finite enumeration used here,not imported; availability/license not audited here,not verified; no code copied,not verified; no data copied,Benchmark definitions and target selection; not a safety theorem,Motivates economic metrics without supplying matched crypto execution,defer; no validated economic winner,Motivates economic metrics without supplying matched crypto execution,Monitor,primary abstract and metadata only,2026-09-20
Improving Generalization and Robustness in Offline Reinforcement Learning via Boundary-Aware Data Augmentation,Gong Gao; Weidong Zhao; Xianhui Liu,2026,arXiv preprint,unverified/not assigned,2609.20300,not established,https://arxiv.org/abs/2609.20300,not a financial efficacy study,not established,Neighbor-constrained synthetic interpolation for offline robustness,model-specific; not mapped to crypto horizon,see primary source; no dataset imported,not mapped to financial bars,not independently verified / not applicable to formal method,not imported as a repository experiment,method/benchmark claims only; no repository financial replication,no repository holdout access,does not establish Binance funding/spread/slippage,no validated Binance queue/fill model,no repository forecast result,no repository net-economic result,Neighbor-constrained synthetic interpolation for offline robustness,not independently established in this refresh,"abstraction, benchmark or support assumptions do not establish future market performance",no applicable machine-checked repository guarantee,Interpolation/error-bound assumptions not rederived,see source; only pinned local Z3 and finite enumeration used here,not imported; availability/license not audited here,not verified; no code copied,not verified; no data copied,Interpolation/error-bound assumptions not rederived,Cannot manufacture causal market state-action support,defer; no validated economic winner,Cannot manufacture causal market state-action support,Monitor,primary abstract and metadata only,2026-09-20
